TESTCASE NAME 	IMAGE TYPE 	RESULT
Image Capture Auto without HandShake	BMP	FAILED
Image Capture Auto without HandShake	BMP	FAILED
Image Capture Auto without HandShake	BMP	FAILED
Single Capture on Trigger without HandShake	JPEG	PASSED
Single Capture on Trigger without HandShake	JPEG	PASSED
Single Capture on Trigger without HandShake	JPEG	PASSED
Single Capture on Trigger without HandShake	BMP	FAILED
Single Capture on Trigger without HandShake	BMP	FAILED
Single Capture on Trigger without HandShake	BMP	FAILED
Multiple Capture on Trigger without HandShake	BMP	FAILED
Multiple Capture on Trigger without HandShake	BMP	FAILED
Multiple Capture on Trigger without HandShake	BMP	FAILED
Single Capture on Decode	JPEG	PASSED
Single Capture on Decode	JPEG	PASSED
Single Capture on Decode	JPEG	PASSED
Single Capture on Decode	BMP	PASSED
Single Capture on Decode	BMP	PASSED
Single Capture on Decode	BMP	PASSED
Single Capture on Decode without HandShake	JPEG	PASSED
Single Capture on Decode without HandShake	JPEG	FAILED
Single Capture on Decode without HandShake	JPEG	FAILED
Single Capture on Decode without HandShake	BMP	FAILED
Single Capture on Decode without HandShake	BMP	FAILED
Single Capture on Decode without HandShake	BMP	FAILED
Multiple Capture on Decode	JPEG	PASSED
Multiple Capture on Decode	JPEG	PASSED
Multiple Capture on Decode	JPEG	PASSED
Multiple Capture on Decode	BMP	PASSED
Multiple Capture on Decode	BMP	PASSED
Multiple Capture on Decode	BMP	PASSED
Multiple Capture on Decode without HandShake	JPEG	FAILED
Multiple Capture on Decode without HandShake	JPEG	FAILED
Multiple Capture on Decode without HandShake	JPEG	FAILED
Multiple Capture on Decode without HandShake	BMP	FAILED
Multiple Capture on Decode without HandShake	BMP	FAILED
Multiple Capture on Decode without HandShake	BMP	FAILED
